no,Tgl_Iklan,url,harga,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,Judul,deskripsi
55,1/18/2021,https://www.rumah123.com/properti/palembang/hos7798645/,1750000000,Palembang,300,200,1,2,0,0,0,0,2200,SHM,New Listing Rumah di Sekip Bendung Palembang,"WA Sekarang : Hendra : 085266231677, Robert : 081383336697. New Listing Jual Rumah di Sekip Bendung Palembang. Deskripsi : Kondisi rumah sekarang di sewa kantor, cocok untuk kos-kosan, tempat usaha dan lainnya. Lokasi padat penduduk, berada di kawasan bisnis. 10 menit ke PTC dan RS Hermina."
56,3/21/2021,https://www.rumah123.com/properti/palembang/hos8059192/,1600000000,Palembang,365,350,9,3,0,0,0,0,900,SHM,Rumah 350/365 lt2 Sekip ujung Palembang,"Call/WA : 0816-382660. Dijual Rumah 350/365 lt2 Sekip ujung Palembang. LT : 365m, LB : 350m (Lt.2), KT : 9, KM : 3, Listrik : 900 watt. Harga : 2 M turun menjadi 1,6 M"
57,3/15/2021,https://www.rumah123.com/properti/palembang/hos8035012/,1450000000,Palembang,285,126,4,2,0,0,0,1,1300,SHM,New Listing Rumah Nyaman Huni di Jl. Meriam Sekip Ujung Palembang,Informasi Lebih Detail Hubungi Ratna : 082372117111.  New Listing Dijual Rumah Nyaman Huni di Jl. Meriam Sekip Ujung Palembang. 
58,3/15/2021,https://www.rumah123.com/properti/palembang/hos8033869/,2100000000,Palembang,260,200,4,3,0,0,0,0,2200,SHM,"Cepat Rumah di Jl. Letjen Simanjuntak, Belakang RS. Hermina Palembang","Informasi Lebih Detail Hubungi Ratna : 082372117111 Emil : 081271390120. Dijual Cepat Rumah di Jl. Letjen Simanjuntak, Belakang RS. Hermina Palembang"
59,3/3/2021,https://www.rumah123.com/properti/palembang/hos7986306/,900000000,Palembang,270,242,4,24,0,0,0,0,1300,SHM,"New Listing Rumah Tengah Kota di Jl. TK Amaliyah, Sekip Palembang","Info Lanjut Hubungi Segera Irma Asari 085268492020. New Listing Dijual Rumah Tengah Kota di Jl. TK Amaliyah, Sekip Palembang. Lokasi: Jl. Tk. Amaliyah, 20 Ilir D II, Kec. Kemuning, Kota Palembang, Sumatera Selatan 30164"
60,10/12/2020,https://www.rumah123.com/properti/palembang/hos7423957/,6500000000,Palembang,638,240,5,2,1,1,0,0,2200,SHM,RUMAH TENGAH KOTA PALEMBANG SINTRAMANJAYA SEKIP UJUNG KEMUNING,"Dijual rumah Tanah luas di tengah kota Palembang di Komplek Sintramanjaya , Sekip Ujung, Kel.20 Ilir D-II , Kec.Kemuning, Palembang Sumatera Selatan. Legalitas : Sertifikat : Hak Milik (SHM), Pajak Bumi dan bangunan : PBB. Hubungi Pak Kodim di HP : 0812 1919 8032."
61,4/8/2021,https://www.rumah123.com/properti/palembang/hos8141391/,500000000,Palembang,122,56,2,1,0,0,1,0,1300,SHM,New Listing Rumah Cantik di Jl. Pangeran Ratu Jakabaring Palembang,Rumah baru bukan rumah second. Terletak di lokasi strategis. Dekat dengan fasilitas umum. Cocok untuk tempat tinggal bersama keluarga.
62,4/8/2021,https://www.rumah123.com/properti/palembang/hos8141391/,8000000000,Palembang,1237,750,6,5,0,0,6,6,5500,SHM,Rumah Mewah di Jl. Pemiri Mp Mangkunegara Kenten Palembang,"150 m dari jl.utama Mp.Mangkunegara, Lingkungan Nyaman, Bebas Banjir, Akses jalan 2 mobil, Dekat sekolah Paramount, Dekat Giant Mall, JM Plaza dan PTC, Dekat Masjid"
63,4/5/2021,https://www.rumah123.com/properti/palembang/hos8125375/,350000000,Palembang,108,40,2,1,0,0,0,0,1300,SHM,Rumah Murah di Komplek Graha Utama Bandara Blok B No. 6 Tl. Jambe Palembang,"Rumah berada dalam komplek perumahan yang aman dan nyaman, security 24 jam, Bebas banjir. Dekat dengan sekolah (SD, SMP, SMA, PESANTREN). Dekat dengan pasar traditional, minimarket, 1 menit ke hotel Santika, 5 menit ke Bandara International SMB II. Kawasan ramai lalu lintas kendaraan dan mudah dijangkau. Cocok untuk hunian bersama keluarga tercinta."
64,4/5/2021,https://www.rumah123.com/properti/palembang/hos8125201/,650000000,Palembang,112,70,2,1,0,0,0,0,1300,SHM,Rumah Murah di Komplek Graha Utama Bandara Tl. Jambe Palembang,"Rumah siap huni, berada dalam komplek perumahan yang aman dan nyaman, security 24 jam, Bebas banjir. Dekat dengan sekolah (SD, SMP, SMA, PESANTREN). Dekat dengan pasar traditional, minimarket, 1 menit ke hotel Santika, 5 menit ke Bandara International SMB II. Kawasan ramai lalu lintas kendaraan dan mudah dijangkau. Cocok untuk hunian bersama keluarga anda."
